AccountID,TransactionID,TransactionDate,TransactionAmount,TransactionDuration,LoginAttempts,AccountBalance,CustomerAge,MerchantCategory
ACC1001,TXN0001,2025-01-01,1500,45,1,15000,35,Travel
ACC1002,TXN0002,2025-01-02,7500,5,5,8000,22,Retail
ACC1003,TXN0003,2025-01-03,2300,30,2,25000,45,Travel
ACC1002,TXN0004,2025-01-04,9800,8,4,10000,28,Dining
ACC1004,TXN0005,2025-01-05,500,60,1,12000,52,Entertainment
ACC1005,TXN0006,2025-01-06,3200,25,2,18000,38,Dining
ACC1002,TXN0007,2025-01-07,12000,3,6,5000,19,Retail
ACC1006,TXN0008,2025-01-08,450,90,1,30000,60,Travel
ACC1007,TXN0009,2025-01-09,5600,15,3,20000,31,Travel
ACC1008,TXN0010,2025-01-10,15000,2,7,8000,75,Entertainment
ACC1009,TXN0011,2025-01-11,800,55,1,22000,42,Retail
ACC1010,TXN0012,2025-01-12,6200,12,4,12000,26,Dining
ACC1001,TXN0013,2025-01-13,1800,40,2,16000,50,Entertainment
ACC1003,TXN0014,2025-01-14,4500,20,2,24000,36,Online
ACC1004,TXN0015,2025-01-15,700,70,1,14000,48,Travel
ACC1005,TXN0016,2025-01-16,8900,7,5,9000,23,Travel
ACC1006,TXN0017,2025-01-17,3400,28,2,19000,41,Travel
ACC1007,TXN0018,2025-01-18,600,65,1,28000,58,Retail
ACC1008,TXN0019,2025-01-19,11000,4,8,6000,21,Entertainment
ACC1001,TXN0020,2025-01-20,2100,35,2,17000,44,Retail
